Country,Region_raw,Region_clean,Region_admin1,Region_admin2,Region_source
Brazil,alta paulista (sao paulo),alta paulista,São Paulo,Alta Paulista,manual
Brazil,brazil matas de minas,brazil matas de minas,Matas de Minas,,manual
Brazil,campos altos - cerrado,campos altos - cerrado,Cerrado Mineiro,Campos Altos,manual
Brazil,carmo de minas,carmo de minas,Mantiqueira de Minas,Carmo de Minas,manual
Brazil,cerrado,cerrado,Cerrado Mineiro,,token
Brazil,cerrado - monte carmelo - minas gerais,cerrado - monte carmelo - minas gerais,Cerrado Mineiro,Monte Carmelo,manual
Brazil,chapadão de ferro (cerrado mineiro),chapadão de ferro,Cerrado Mineiro,Chapadão de Ferro,manual
Brazil,grama valley,grama valley,Mantiqueira de Minas,Vale da Grama,manual
Brazil,high mogiana,high mogiana,Mogiana,,manual
Brazil,mantiqueira de minas,mantiqueira de minas,Mantiqueira de Minas,,token
Brazil,matas de minas,matas de minas,Matas de Minas,,token
Brazil,"minas gerais, br","minas gerais, br",Minas Gerais,,manual
Brazil,mmm,mmm,,,unmatched
Brazil,mogiana,mogiana,Mogiana,,token
Brazil,monte carmelo,monte carmelo,Cerrado Mineiro,Monte Carmelo,manual
Brazil,mountains of minas gerais,mountains of minas gerais,Minas Gerais,,manual
Brazil,south of minas,south of minas,Sul de Minas,,manual
Brazil,sul de minas,sul de minas,Sul de Minas,,manual
Brazil,sul de minas - carmo de minas,sul de minas - carmo de minas,Sul de Minas,Carmo de Minas,manual
Brazil,test,test,,,unmatched
Brazil,vale da grama,vale da grama,Mantiqueira de Minas,Vale da Grama,manual
Burundi,kayanza,kayanza,Kayanza,,manual
Burundi,mumirwa,mumirwa,Mumirwa,,manual
China,dehong prefecture,dehong prefecture,Yunnan,Dehong,manual
China,menglian,menglian,Yunnan,Menglian,manual
China,xishuangbanna prefecture,xishuangbanna prefecture,Yunnan,Xishuangbanna,manual
China,yunnan,yunnan,Yunnan,,token
Colombia,52 narino (exact location: mattituy; municipal region: florida code 381,narino (,Nariño,Florida,manual
Colombia,antioquia,antioquia,Antioquia,,token
Colombia,cauca,cauca,Cauca,,token
Colombia,cundinamarca,cundinamarca,Cundinamarca,,token
Colombia,eje cafetero,eje cafetero,,,unmatched
Colombia,guayata,guayata,Boyacá,Guayatá,manual
Colombia,huila,huila,Huila,,token
Colombia,huila supremo,huila supremo,Huila,,manual
