,Species,Country.of.Origin,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Moisture,Total.Cup.Points,Cluster,FlavorCluster,Country_Group,Processing_Group,Variety_Group
0,Arabica,Ethiopia,,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,0.12,90.58,1,酸味系,Ethiopia,ウォッシュド,その他
1,Arabica,Ethiopia,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,0.12,89.92,0,香り系,Ethiopia,ウォッシュド,Other
2,Arabica,Guatemala,Bourbon,,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,0.0,89.75,0,香り系,Guatemala,その他,Bourbon
3,Arabica,Ethiopia,,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,0.11,89.0,2,コク・バランス系,Ethiopia,ナチュラル,その他
4,Arabica,Ethiopia,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,0.12,88.83,1,酸味系,Ethiopia,ウォッシュド,Other
5,Arabica,Brazil,,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,0.11,88.83,1,酸味系,Brazil,ナチュラル,その他
6,Arabica,Peru,Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,0.11,88.75,1,酸味系,その他,ウォッシュド,Other
7,Arabica,Ethiopia,,,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,0.03,88.67,2,コク・バランス系,Ethiopia,その他,その他
8,Arabica,Ethiopia,,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,0.03,88.42,0,香り系,Ethiopia,その他,その他
9,Arabica,Ethiopia,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,0.1,88.25,1,酸味系,Ethiopia,ナチュラル,Other
10,Arabica,Ethiopia,,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,0.1,88.08,1,酸味系,Ethiopia,ナチュラル,その他
11,Arabica,United States,Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,0.0,87.92,1,酸味系,その他,ウォッシュド,Other
12,Arabica,United States,Other,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,0.0,87.92,1,酸味系,その他,ウォッシュド,Other
13,Arabica,United States (Hawaii),,,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,0.0,87.92,1,酸味系,United States (Hawaii),その他,その他
14,Arabica,Ethiopia,,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,0.05,87.83,2,コク・バランス系,Ethiopia,その他,その他
15,Arabica,United States,Other,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,0.0,87.58,2,コク・バランス系,その他,ウォッシュド,Other
16,Arabica,Indonesia,,,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,0.03,87.42,3,丸み系,その他,その他,その他
17,Arabica,Ethiopia,,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,0.05,87.33,2,コク・バランス系,Ethiopia,その他,その他
18,Arabica,China,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,0.1,87.25,0,香り系,その他,ウォッシュド,その他
19,Arabica,Ethiopia,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,0.0,87.25,1,酸味系,Ethiopia,ナチュラル,その他
20,Arabica,United States,Other,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,0.0,87.25,1,酸味系,その他,ウォッシュド,Other
21,Arabica,Costa Rica,Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,0.11,87.17,2,コク・バランス系,Costa Rica,ウォッシュド,Caturra
22,Arabica,Mexico,Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,0.13,87.17,0,香り系,Mexico,ウォッシュド,Other
23,Arabica,United States,Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,0.0,87.08,0,香り系,その他,ウォッシュド,Other
24,Arabica,Ethiopia,,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,0.11,87.08,1,酸味系,Ethiopia,ナチュラル,その他
25,Arabica,Brazil,Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,0.12,86.92,0,香り系,Brazil,ナチュラル,Bourbon
26,Arabica,Ethiopia,,,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,0.05,86.92,2,コク・バランス系,Ethiopia,その他,その他
27,Arabica,Uganda,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,0.12,86.83,0,香り系,Uganda,ウォッシュド,その他
28,Arabica,Honduras,Caturra,,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,0.1,86.67,0,香り系,Honduras,その他,Caturra
29,Arabica,Taiwan,Sumatra,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,0.0,86.58,1,酸味系,Taiwan,ハニー,その他
30,Arabica,Nicaragua,,,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,0.08,86.58,1,酸味系,その他,その他,その他
31,Arabica,"Tanzania, United Republic Of",,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,0.11,86.5,0,香り系,"Tanzania, United Republic Of",ナチュラル,その他
32,Arabica,Brazil,Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,0.12,86.42,0,香り系,Brazil,ナチュラル,Bourbon
33,Arabica,Costa Rica,Caturra,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,0.0,86.33,0,香り系,Costa Rica,ウォッシュド,Caturra
34,Arabica,Ethiopia,,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,0.1,86.25,1,酸味系,Ethiopia,ナチュラル,その他
35,Arabica,Kenya,SL34,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,0.12,86.25,1,酸味系,その他,ウォッシュド,その他
36,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,0.0,86.25,0,香り系,United States (Hawaii),ナチュラル,Hawaiian Kona
37,Arabica,United States (Hawaii),,,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,0.0,86.25,0,香り系,United States (Hawaii),その他,その他
38,Arabica,Ethiopia,,,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,0.1,86.25,1,酸味系,Ethiopia,その他,その他
39,Arabica,United States,Other,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,0.0,86.17,2,コク・バランス系,その他,ウォッシュド,Other
40,Arabica,Thailand,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,0.1,86.17,1,酸味系,Thailand,ウォッシュド,Caturra
