label,country,admin1,cluster,Aroma,Flavor,Aftertaste,Acidity,Body,Balance
Brazil/Cerrado Mineiro,Brazil,Cerrado Mineiro,後味すっきり (C3),-0.026728,0.037716,-0.046358,0.024753,0.034383,-0.023765
Brazil/Mantiqueira de Minas,Brazil,Mantiqueira de Minas,後味すっきり (C3),0.073039,0.067745,-0.098725,0.018922,-0.04049,-0.02049
Brazil/Matas de Minas,Brazil,Matas de Minas,独自の味わい,0.005833,0.005833,-0.159167,-0.074167,0.175833,0.045833
Brazil/Minas Gerais,Brazil,Minas Gerais,香り華やか・軽やか (C5),0.141111,0.171111,-0.105556,-0.132222,-0.162222,0.087778
Brazil/Mogiana,Brazil,Mogiana,香り華やか・軽やか (C5),0.2175,0.0475,0.0075,-0.0375,-0.1575,-0.0775
Brazil/Sul de Minas,Brazil,Sul de Minas,後味すっきり (C3),0.020405,0.052568,-0.097838,-0.017838,0.039324,0.003378
Brazil/São Paulo,Brazil,São Paulo,コク深い・後味すっきり・あっさり (C2),0.066667,-0.093333,-0.013333,-0.263333,0.236667,0.066667
Burundi/Kayanza,Burundi,Kayanza,後味すっきり (C3),0.166667,0.086667,-0.253333,-0.083333,-0.083333,0.166667
Burundi/Mumirwa,Burundi,Mumirwa,酸味しっかり・香り控えめ (C1),-0.085,0.085,0.005,0.165,-0.085,-0.085
China/Yunnan,China,Yunnan,後味すっきり (C3),0.066042,0.050417,-0.090833,0.002917,-0.001458,-0.027083
Colombia/Antioquia,Colombia,Antioquia,バランス良好 (C4),0.082778,-0.083889,-0.163889,-0.220556,-0.250556,0.636111
Colombia/Boyacá,Colombia,Boyacá,独自の味わい,-0.440833,0.184167,0.141667,-0.503333,0.269167,0.349167
Colombia/Cauca,Colombia,Cauca,バランス良好 (C4),0.087179,0.024103,-0.008974,-0.125128,-0.065128,0.087949
Colombia/Cundinamarca,Colombia,Cundinamarca,バランス良好 (C4),0.092727,0.008182,-0.143636,-0.073636,0.024545,0.091818
Colombia/Huila,Colombia,Huila,バランス良好 (C4),0.057433,-0.018212,-0.086035,-0.034583,-0.003535,0.084933
Colombia/Nariño,Colombia,Nariño,バランス良好 (C4),0.104583,-0.065417,-0.145417,0.019583,0.022083,0.064583
Colombia/Risaralda,Colombia,Risaralda,独自の味わい,0.196667,0.026667,-0.473333,0.026667,0.196667,0.026667
Colombia/Santander,Colombia,Santander,バランス良好 (C4),-0.011806,-0.033472,-0.081806,0.042361,-0.026806,0.111528
Colombia/Tolima,Colombia,Tolima,独自の味わい,-0.221667,-0.051667,-0.141667,0.108333,0.108333,0.198333
Costa Rica/Brunca,Costa Rica,Brunca,バランス良好 (C4),-0.045,-0.125,0.045,0.125,0.045,-0.045
