label	country	admin1	cluster	cluster_id	overall
Brazil/Cerrado Mineiro	Brazil	Cerrado Mineiro	後味すっきり (C3)	C3	7.38
Brazil/Mantiqueira de Minas	Brazil	Mantiqueira de Minas	後味すっきり (C3)	C3	7.52
Brazil/Matas de Minas	Brazil	Matas de Minas	独自の味わい	noise	7.53
Brazil/Minas Gerais	Brazil	Minas Gerais	香り華やか・軽やか (C5)	C5	7.66
Brazil/Mogiana	Brazil	Mogiana	香り華やか・軽やか (C5)	C5	7.58
Brazil/Sul de Minas	Brazil	Sul de Minas	後味すっきり (C3)	C3	7.57
Brazil/São Paulo	Brazil	São Paulo	コク深い・後味すっきり・あっさり (C2)	C2	7.51
Burundi/Kayanza	Burundi	Kayanza	後味すっきり (C3)	C3	7.58
Burundi/Mumirwa	Burundi	Mumirwa	酸味しっかり・香り控えめ (C1)	C1	7.17
China/Yunnan	China	Yunnan	後味すっきり (C3)	C3	7.58
Colombia/Antioquia	Colombia	Antioquia	バランス良好 (C4)	C4	7.53
Colombia/Boyacá	Colombia	Boyacá	独自の味わい	noise	7.44
Colombia/Cauca	Colombia	Cauca	バランス良好 (C4)	C4	7.58
Colombia/Cundinamarca	Colombia	Cundinamarca	バランス良好 (C4)	C4	7.63
Colombia/Huila	Colombia	Huila	バランス良好 (C4)	C4	7.61
Colombia/Nariño	Colombia	Nariño	バランス良好 (C4)	C4	7.71
Colombia/Risaralda	Colombia	Risaralda	独自の味わい	noise	7.22
Colombia/Santander	Colombia	Santander	バランス良好 (C4)	C4	7.72
Colombia/Tolima	Colombia	Tolima	独自の味わい	noise	7.97
Costa Rica/Brunca	Costa Rica	Brunca	バランス良好 (C4)	C4	7.62
Costa Rica/Central Valley	Costa Rica	Central Valley	バランス良好 (C4)	C4	7.56
Costa Rica/Tarrazú	Costa Rica	Tarrazú	バランス良好 (C4)	C4	7.61
Costa Rica/Tres Ríos	Costa Rica	Tres Ríos	香り華やか・軽やか (C5)	C5	7.48
Costa Rica/Turrialba	Costa Rica	Turrialba	バランス良好 (C4)	C4	7.42
Costa Rica/West Valley	Costa Rica	West Valley	バランス良好 (C4)	C4	7.55
Ecuador/Manabí	Ecuador	Manabí	独自の味わい	noise	7.69
El Salvador/Apaneca-Ilamatepec	El Salvador	Apaneca-Ilamatepec	バランス良好 (C4)	C4	7.69
